p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_id	MTgenes	p10	sample_id
257	0.0174664720617685	0.216640477023276	0.738	0.663	1	MT-ND6	mtDNA-encoded	0	SA610
458	0.031463480958376	0.158193213153495	1	0.994	1	MT-CO3	mtDNA-encoded	0	SA610
489	0.0337617453879957	0.176309285263059	1	0.992	1	MT-CYB	mtDNA-encoded	0	SA610
680	0.0482703373069223	0.177720333877674	1	0.986	1	MT-ND2	mtDNA-encoded	0	SA610
816	0.0583969741190443	-0.138580044751784	1	0.994	1	MT-CO1	mtDNA-encoded	0	SA610
4373	0.392240484627699	0.0624142297367545	1	0.994	1	MT-CO2	mtDNA-encoded	0	SA610
4595	0.413487175148435	0.0522348160842556	0.951	0.964	1	MT-ND4L	mtDNA-encoded	0	SA610
5568	0.51657688885099	-0.062563989193257	0.99	0.994	1	MT-ND5	mtDNA-encoded	0	SA610
6504	0.616578736927041	-0.0470791606266765	1	0.989	1	MT-ND4	mtDNA-encoded	0	SA610
7350	0.710591224333465	-0.0189979162739373	1	0.983	1	MT-ND1	mtDNA-encoded	0	SA610
103	3.7475838970428e-45	0.30219949014776	1	0.999	7.31940610931429e-41	MT-ND2	mtDNA-encoded	40.1355241558147	SA906a
121	1.37636614408595e-42	0.276943976042721	1	1	2.68818071601427e-38	MT-CO1	mtDNA-encoded	37.570541538695	SA906a
128	5.99727773314717e-42	0.25649336531089	1	0.999	1.17132831406097e-37	MT-ND1	mtDNA-encoded	36.9313213585567	SA906a
130	1.39097465006469e-41	0.28337087894091	0.998	0.998	2.71671258904135e-37	MT-ND5	mtDNA-encoded	36.5659563047532	SA906a
132	2.07074217802025e-41	0.277330984929145	1	1	4.04436654789135e-37	MT-ND4	mtDNA-encoded	36.3931494904419	SA906a
310	3.61070403212532e-30	0.200515985012432	1	1	7.05206604514396e-26	MT-CO2	mtDNA-encoded	25.1516836290291	SA906a
594	4.23608308180367e-22	0.160117939360601	1	1	8.27349386707076e-18	MT-CO3	mtDNA-encoded	17.0823110506948	SA906a
2200	2.06869398469827e-09	0.122395286788257	0.979	0.982	4.04036622151418e-05	MT-ND4L	mtDNA-encoded	4.39357926836107	SA906a
2806	1.3299117161624e-07	0.0706604114998317	1	1	0.00259745057283678	MT-CYB	mtDNA-encoded	2.58545270792804	SA906a
4540	0.000105312464253733	-0.0366865314449232	1	1	1	MT-ATP6	mtDNA-encoded	0	SA906a
5262	0.000752965202166015	-0.00050004420683214	0.474	0.557	1	MT-ND6	mtDNA-encoded	0	SA906a
7569	0.0744388082851527	0.00323658103643987	0.484	0.551	1	MT-ATP8	mtDNA-encoded	0	SA906a
9559	0.837158383289371	-0.00926387312887833	1	1	1	MT-ND3	mtDNA-encoded	0	SA906a
26	8.76925430653663e-80	0.413898370824705	0.999	1	1.65537213544492e-75	MT-CO3	mtDNA-encoded	74.7811043594696	SA906b
140	4.65009618734102e-43	0.283556449141001	1	1	8.77798657284364e-39	MT-ND3	mtDNA-encoded	38.0566050878046	SA906b
190	6.81187325834757e-38	0.263247704780919	0.999	1	1.28587731497827e-33	MT-CYB	mtDNA-encoded	32.8908004652918	SA906b
276	8.66518669687193e-32	0.286870208879657	0.998	0.999	1.63572729276851e-27	MT-ND1	mtDNA-encoded	26.7862890998811	SA906b
336	4.11294742148893e-29	0.243420280861491	1	1	7.76401084754466e-25	MT-ND4	mtDNA-encoded	24.1099138665055	SA906b
864	2.42126144397982e-17	0.196807714740765	0.999	1	4.57061522780071e-13	MT-CO2	mtDNA-encoded	12.3400253377736	SA906b
915	9.01806118400638e-17	0.258984815394296	0.954	0.96	1.70233940970488e-12	MT-ND4L	mtDNA-encoded	11.7689538466801	SA906b
1803	3.65147834754743e-11	0.173268858282744	0.998	0.998	6.89289567666528e-07	MT-ND2	mtDNA-encoded	6.16159829446265	SA906b
3769	8.25915447159258e-06	0.187436063729647	0.973	0.978	0.155908058960253	MT-ND5	mtDNA-encoded	0.807131435346701	SA906b
4740	0.0002102712594724	0.181340534449117	0.999	1	1	MT-CO1	mtDNA-encoded	0	SA906b
6766	0.0258519953922721	0.0997775500067588	1	1	1	MT-ATP6	mtDNA-encoded	0	SA906b
7586	0.0959174258034634	0.071731068102857	0.431	0.485	1	MT-ATP8	mtDNA-encoded	0	SA906b
7740	0.121992744615944	0.106522505590378	0.385	0.437	1	MT-ND6	mtDNA-encoded	0	SA906b
77	6.57744546570064e-09	0.672521030328368	1	1	0.000211629307858918	MT-CO2	mtDNA-encoded	3.67442418843261	OV-022
2711	2.58021742615196e-05	-0.493539901802335	1	1	0.830184956864392	MT-ND1	mtDNA-encoded	0.0808251403985688	OV-022
326	6.38695213615845e-05	0.445287840604815	1	1	1	MT-CO3	mtDNA-encoded	0	OV-022
352	8.75302446994283e-05	-0.710430788729998	1	1	1	MT-ND2	mtDNA-encoded	0	OV-022
1186	0.0112874950152697	0.257544388039017	1	1	1	MT-CO1	mtDNA-encoded	0	OV-022
1789	0.0336008523065855	0.218074984461158	1	1	1	MT-ATP6	mtDNA-encoded	0	OV-022
2407	0.0659729627966283	-0.2037465020326	1	1	1	MT-ND3	mtDNA-encoded	0	OV-022
3021	0.105323918846226	-0.221536846713846	0.999	1	1	MT-ND5	mtDNA-encoded	0	OV-022
4167	0.211652889847302	-0.13426634260012	0.362	0.5	1	MT-ATP8	mtDNA-encoded	0	OV-022
6896	0.545158750150114	0.0987262572311156	1	1	1	MT-CYB	mtDNA-encoded	0	OV-022
8120	0.731728359324794	0.0408685212937121	0.813	0.667	1	MT-ND6	mtDNA-encoded	0	OV-022
9083	0.882356290937373	-0.103210296843113	0.872	0.708	1	MT-ND4L	mtDNA-encoded	0	OV-022
9572	0.97293290517993	-0.0398744938449962	1	1	1	MT-ND4	mtDNA-encoded	0	OV-022
4	4.63838603828177e-128	0.819296082319553	1	1	1.49240070781716e-123	MT-ND3	mtDNA-encoded	122.826114553654	OV-081
22	1.16003248466216e-65	0.50295805548	1	1	3.73240451940051e-61	MT-ND2	mtDNA-encoded	60.428011293376	OV-081
41	2.74342003243049e-48	0.42400098164815	1	1	8.82695395434511e-44	MT-CYB	mtDNA-encoded	43.0541891388965	OV-081
58	2.21476936201191e-42	0.375768179354456	1	1	7.12602042227333e-38	MT-ATP6	mtDNA-encoded	37.1471529373502	OV-081
61	1.19846704669286e-41	0.366514130476595	1	1	3.85606772273429e-37	MT-ND5	mtDNA-encoded	36.413855347344	OV-081
62	5.2420374965775e-41	0.358261554909244	1	1	1.68662556452381e-36	MT-CO2	mtDNA-encoded	35.77298132127	OV-081
89	5.33687168467615e-35	0.302231544863048	1	1	1.71713846454455e-30	MT-ND4	mtDNA-encoded	29.7651946833114	OV-081
131	3.56072444401049e-27	0.291525900196214	1	1	1.14566308986038e-22	MT-CO1	mtDNA-encoded	21.9409430784652	OV-081
217	1.35988349211292e-18	0.231395790127601	1	1	4.37542513587333e-14	MT-ND1	mtDNA-encoded	13.3589797425974	OV-081
219	1.5213099351888e-18	0.314544739340488	0.994	0.99	4.89481471646996e-14	MT-ND4L	mtDNA-encoded	13.3102637429084	OV-081
539	2.57788962052188e-09	0.26596116841928	0.723	0.571	8.29435985402915e-05	MT-ATP8	mtDNA-encoded	4.0812171265282	OV-081
1934	0.00360672956027674	-0.169800881699407	1	1	1	MT-CO3	mtDNA-encoded	0	OV-081
2491	0.0159308484656076	-0.163336879659157	0.852	0.836	1	MT-ND6	mtDNA-encoded	0	OV-081
