pos	first	median	third
265	7	12	18
266	7	12	18
267	7	12	18
268	7	12	19
269	7	12	19
270	7	12	19
271	7	12	19
272	7	12	19
273	7	12	19
274	7	12	19
275	7	12	19
276	7	12	19
277	7	12	19
278	7	12	19
279	7	12	19
280	7	12	19
281	7	12	19
282	7	12	19
283	7	12	19
284	7	12	19
285	7	12	19
286	7	12	19
287	7	12	19
288	7	12	19
289	7	12	19
290	7	12	19
291	7	12	19
292	7	12	18
293	7	12	18
294	7	12	18
295	7	12	19
296	7	12	19
297	7	11	18
298	7	12	19
299	7	12	19
300	6	11	18
301	6	11	17
302	6	10	16
303	7	11	18
304	7	11	18
305	7	12	18
306	7	12	18
307	7	12	18
308	7	12	19
309	7	12	18
310	6	10	16
311	7	12	19
312	7	12	19
313	7	12	19
314	7	12	19
315	7	12	19
316	6	10	16
317	6	11	17
318	6	10	16
319	6	10	16
320	6	11	16
321	6	10	16
322	6	10	16
323	6	10	16
324	6	11	17
325	6	11	17
326	6	11	16
327	6	11	17
328	6	11	16
329	6	11	17
330	7	11	17
331	6	11	17
332	7	12	19
333	7	12	19
334	7	12	19
335	7	12	19
336	7	12	19
337	7	12	19
338	7	12	19
339	7	12	18
340	7	12	19
341	6	11	17
342	7	11	17
343	7	11	18
344	6	11	17
345	7	11	17
346	7	11	17
347	7	11	18
348	7	11	18
349	6	11	17
350	6	11	17
351	6	11	17
352	6	11	17
353	7	11	17
354	7	11	17
355	7	11	17
356	7	11	17
357	6	11	17
358	6	11	17
359	6	11	17
360	6	11	17
361	6	11	17
362	7	11	18
363	7	11	17
364	6	11	17
365	6	11	17
366	6	11	17
367	6	11	17
368	6	11	17
369	7	12	19
370	7	12	19
371	7	12	19
372	7	12	19
373	7	12	19
374	7	12	19
375	8	13	20
376	7	12	19
377	8	13	20
378	7	12	18
379	7	11	18
380	7	12	18
381	7	12	18
382	7	12	18
383	7	11	18
384	7	11	18
385	7	11	17
386	7	12	18
387	7	12	18
388	6	11	17
389	6	11	17
390	6	11	17
391	6	11	17
392	6	11	17
393	6	11	17
394	6	11	17
395	6	11	17
396	6	11	17
397	6	11	17
398	6	11	17
399	6	11	17
400	6	11	17
401	6	11	17
402	7	11	17
403	7	11	17
404	7	11	18
405	6	11	17
406	7	11	17
407	7	11	17
408	7	11	17
409	6	11	17
410	7	11	17
411	7	11	18
412	7	11	17
413	7	11	18
414	6	11	17
415	7	11	18
416	7	11	18
417	7	11	18
418	7	11	18
419	7	11	18
420	7	12	18
421	7	11	18
422	7	11	18
423	7	11	18
424	7	11	18
425	7	11	17
426	6	11	17
427	7	11	18
428	6	11	17
429	6	11	17
430	6	10	16
431	6	10	16
432	6	10	15
433	6	10	16
434	6	10	16
435	6	10	16
436	6	10	16
437	6	10	16
438	6	10	16
439	6	10	16
440	6	10	16
441	6	10	16
442	5	9	15
443	5	9	15
444	5	9	15
445	5	10	15
446	5	9	15
447	5	10	15
448	5	9	14
449	5	9	15
450	5	9	15
451	5	9	15
452	5	9	15
453	5	9	15
454	5	9	15
455	5	9	14
456	5	9	14
457	5	9	14
458	5	9	14
459	5	9	14
460	5	8	13
461	5	9	14
462	5	9	14
463	5	9	14
464	4	8	13
465	6	10	15
466	5	9	14
467	6	10	16
468	6	10	16
469	6	10	16
470	5	9	15
471	5	9	15
472	5	9	15
473	7	11	17
474	6	10	15
475	6	10	15
476	6	10	16
477	5	9	15
478	5	9	15
479	5	9	15
480	5	9	15
481	6	9	15
482	5	8	13
483	5	9	14
484	5	9	14
485	5	9	14
486	5	9	14
487	5	9	14
488	5	9	15
489	5	9	15
490	5	9	15
491	6	9	15
492	5	9	14
493	5	9	14
494	5	9	14
495	5	9	15
496	5	9	15
497	5	9	14
498	5	9	15
499	5	9	14
500	5	9	14
501	5	9	14
502	5	9	14
503	5	9	14
504	5	9	14
505	5	9	15
506	5	9	15
507	5	9	14
508	5	9	14
509	5	9	15
510	5	9	15
511	5	9	15
512	5	9	15
513	6	9	15
514	6	10	16
515	6	10	15
516	6	10	17
517	6	10	16
518	6	10	17
519	6	10	16
520	6	10	17
521	6	10	16
522	6	11	17
523	6	10	16
524	6	11	17
525	6	10	17
526	6	10	16
527	6	11	17
528	6	10	16
529	6	11	17
530	6	11	17
531	6	10	17
532	6	11	17
533	6	11	17
534	7	11	18
535	7	11	18
536	7	11	18
537	7	11	18
538	6	10	16
539	6	10	16
540	6	11	17
541	6	11	18
542	7	11	18
543	6	11	18
544	6	11	17
545	6	10	16
546	6	10	16
547	6	10	17
548	6	10	17
549	6	10	17
550	5	10	16
551	6	10	16
552	6	10	16
553	6	10	17
554	6	10	16
555	6	10	16
556	6	10	16
557	6	11	17
558	6	11	18
559	6	11	18
560	6	11	18
561	6	10	17
562	6	11	17
563	6	11	18
564	6	10	17
565	6	11	17
566	6	11	17
567	6	10	16
568	6	11	18
569	6	11	18
570	7	11	18
571	7	11	18
572	7	11	18
573	7	11	18
574	6	11	17
575	7	12	19
576	7	12	18
577	7	12	19
578	7	12	19
579	7	13	20
580	7	13	20
581	7	13	20
582	7	13	20
583	7	13	20
584	7	13	20
585	7	12	20
586	7	12	20
587	7	12	20
588	7	12	19
589	7	12	20
590	7	12	19
591	7	12	20
592	7	12	20
593	7	12	19
594	8	13	21
595	8	13	21
596	8	13	20
597	8	13	21
598	8	13	20
599	8	14	22
600	8	14	22
601	8	14	22
602	8	14	22
603	8	14	22
604	8	14	22
605	8	13	21
606	8	14	22
607	8	14	22
608	8	13	21
609	8	14	22
610	8	13	21
611	8	13	21
612	8	13	21
613	8	14	22
614	8	14	22
615	8	13	22
616	8	13	21
617	8	14	22
618	8	14	22
619	8	14	22
620	8	14	22
621	8	14	22
622	8	14	22
623	8	14	22
624	8	14	22
625	8	14	22
626	9	15	23
627	9	15	23
628	9	15	23
629	9	15	23
630	9	15	24
631	9	15	24
632	9	16	24
633	9	15	24
634	9	15	24
635	9	15	24
636	9	15	23
637	9	15	24
638	9	16	24
639	9	16	24
640	9	16	24
641	9	15	24
642	9	15	24
643	9	15	24
644	9	15	24
645	9	15	24
646	10	16	25
647	9	16	25
648	9	16	25
649	9	16	25
650	9	16	25
651	9	16	25
652	10	16	25
653	10	16	26
654	9	16	25
655	10	16	25
656	10	16	25
657	10	17	26
658	11	18	27
659	11	18	27
660	11	18	27
661	11	18	27
662	11	18	27
663	11	17	27
664	11	18	27
665	11	18	27
666	11	18	27
667	10	17	26
668	10	17	26
669	10	17	27
670	11	18	28
671	11	18	28
672	11	18	28
673	11	18	28
674	11	18	28
675	11	18	28
676	11	18	28
677	11	19	29
678	11	18	28
679	11	19	29
680	11	18	28
681	12	20	30
682	12	20	30
683	12	19	30
684	12	20	30
685	12	19	30
686	12	20	30
687	13	21	32
688	13	21	31
689	13	21	32
690	13	20	31
691	13	20	31
692	13	20	31
693	13	20	31
694	13	21	32
695	13	21	31
696	12	20	31
697	12	20	31
698	13	20	31
699	13	20	31
700	13	21	31
701	13	21	31
702	13	21	32
703	13	20	31
704	13	21	32
705	13	21	32
706	13	21	32
707	13	21	32
708	13	21	32
709	13	22	33
710	13	22	32
711	13	22	33
712	14	22	33
713	14	22	33
714	14	22	33
715	14	22	33
716	14	22	33
717	14	22	34
718	14	22	33
719	14	22	34
720	14	22	33
721	14	22	33
722	14	22	34
723	13	22	33
724	14	23	35
725	14	22	34
726	15	24	37
727	15	24	36
728	15	25	37
729	15	24	37
730	15	25	37
731	15	25	37
732	15	25	37
733	15	24	36
734	15	24	37
735	15	23	35
736	15	24	36
737	15	24	35
738	15	24	35
739	15	24	35
740	15	24	36
741	15	24	36
742	15	24	36
743	15	24	36
744	15	24	36
745	15	24	36
746	15	24	36
747	15	24	36
748	15	24	36
749	15	24	36
750	15	24	36
751	15	24	36
752	15	24	36
753	15	24	36
754	15	25	37
755	16	25	38
756	16	26	38
757	16	25	38
758	16	25	37
759	16	25	37
760	16	25	37
761	16	25	37
762	16	25	38
763	16	25	37
764	15	25	37
765	15	25	37
766	16	25	37
767	16	26	38
768	16	26	39
769	16	26	39
770	16	26	39
771	16	26	39
772	16	26	39
773	16	26	39
774	16	26	39
775	16	26	39
776	15	25	37
777	16	25	37
778	16	25	37
779	15	25	37
780	16	25	37
781	15	25	37
782	15	25	37
783	15	24	37
784	15	24	36
785	16	25	38
786	16	25	37
787	15	25	37
788	15	24	36
789	15	25	37
790	16	25	37
791	16	25	38
792	16	25	38
793	16	25	38
794	15	25	37
795	16	25	37
796	16	25	37
797	16	25	37
798	16	25	37
799	15	24	36
800	15	24	37
801	15	23	35
802	15	24	37
803	15	24	36
804	15	24	36
805	15	24	36
806	15	24	36
807	15	24	35
808	15	24	35
809	15	23	35
810	15	24	35
811	15	24	35
812	15	24	36
813	15	24	36
814	15	23	35
815	15	24	36
816	15	24	36
817	15	24	36
818	15	24	36
819	15	24	35
820	15	23	35
821	14	23	34
822	15	24	36
823	15	24	36
824	15	24	35
825	15	24	35
826	15	23	35
827	15	24	36
828	15	24	36
829	15	24	36
830	15	23	35
831	14	22	33
832	14	22	33
833	14	22	33
834	14	22	33
835	14	22	33
836	13	21	32
837	13	21	31
838	13	21	31
839	13	21	31
840	13	21	31
841	13	21	31
842	13	21	32
843	13	21	31
844	13	21	31
845	13	21	31
846	13	21	31
847	13	21	32
848	13	21	31
849	13	21	31
850	13	21	32
851	13	21	32
852	13	21	32
853	13	21	32
854	13	21	32
855	15	24	36
856	15	24	35
857	16	25	37
858	16	25	37
859	15	24	36
860	17	27	40
861	17	27	40
862	17	27	40
863	17	27	40
864	16	25	38
865	16	25	37
866	16	25	36
867	18	28	41
868	18	27	41
869	17	27	40
870	17	26	39
871	17	26	39
872	17	27	39
873	17	26	39
874	17	26	39
875	17	26	39
876	15	24	36
877	16	25	37
878	16	25	37
879	16	25	37
880	16	25	37
881	16	25	37
882	16	25	37
883	16	25	37
884	16	25	37
885	16	25	37
886	16	25	37
887	16	25	37
888	16	25	37
889	16	25	37
890	16	25	37
891	16	25	37
892	16	25	37
893	16	25	37
894	16	25	37
895	16	25	37
896	16	25	37
897	16	25	37
898	16	25	37
899	16	25	37
900	16	25	37
901	16	25	37
902	16	25	38
903	16	25	37
904	16	25	37
905	16	25	37
906	16	25	38
907	16	25	38
908	17	26	39
909	17	26	39
910	17	26	39
911	17	26	39
912	17	26	39
913	17	26	39
914	17	27	40
915	17	27	40
916	17	27	40
917	17	26	39
918	16	25	38
919	16	26	39
920	17	26	39
921	16	26	38
922	17	26	39
923	16	26	38
924	17	26	39
925	17	26	39
926	17	26	39
927	17	26	39
928	16	25	37
929	15	25	37
930	16	25	37
931	15	25	37
932	16	25	37
933	15	24	37
934	15	25	37
935	15	24	37
936	15	25	37
937	15	24	37
938	15	25	37
939	15	25	37
940	15	24	37
941	16	25	37
942	15	24	36
943	15	24	37
944	15	24	36
945	16	25	38
946	15	25	37
947	15	25	37
948	15	25	37
949	16	25	38
950	15	25	37
951	15	25	38
952	15	24	36
953	15	24	36
954	14	23	35
955	13	22	33
956	14	23	35
957	14	23	35
958	14	23	35
959	14	23	35
960	14	23	36
961	14	23	34
962	15	24	37
963	15	24	37
964	15	24	37
965	15	24	37
966	15	24	36
967	15	24	36
968	15	24	36
969	14	23	36
970	14	23	35
971	14	23	34
972	14	23	35
973	14	23	35
974	14	22	34
975	14	23	35
976	14	23	35
977	14	22	34
978	14	22	34
979	14	23	35
980	14	22	34
981	14	22	34
982	14	22	34
983	14	22	34
984	14	22	34
985	14	22	34
986	14	22	34
987	14	22	34
988	14	22	34
989	13	22	33
990	13	22	33
991	14	22	34
992	13	22	34
993	14	22	34
994	14	22	34
995	13	22	34
996	13	22	33
997	13	22	33
998	13	21	33
999	14	22	34
1000	13	22	33
1001	13	22	33
1002	13	22	34
1003	13	22	34
1004	13	22	34
1005	13	21	33
1006	13	21	33
1007	13	21	33
1008	13	22	33
1009	13	22	33
1010	13	21	32
1011	13	21	33
1012	13	21	33
1013	13	21	33
1014	13	22	33
1015	13	22	33
1016	13	21	32
1017	12	20	31
1018	12	20	31
1019	12	20	31
1020	13	21	31
1021	12	20	30
1022	12	20	30
1023	12	20	31
1024	12	20	30
1025	12	20	31
1026	12	20	30
1027	12	19	30
1028	12	20	30
1029	12	19	29
1030	12	19	30
1031	12	20	30
1032	12	20	30
1033	12	19	30
1034	12	19	30
1035	12	20	30
1036	12	20	30
1037	12	20	30
1038	12	20	30
1039	11	19	29
1040	11	19	29
1041	11	19	29
1042	11	19	29
1043	12	19	30
1044	11	19	29
1045	11	19	29
1046	11	19	29
1047	11	19	29
1048	11	19	29
1049	11	18	28
1050	11	19	29
1051	11	19	29
1052	11	19	30
1053	11	19	30
1054	11	19	30
1055	11	19	29
1056	11	19	29
1057	11	19	30
1058	11	19	30
1059	11	18	28
1060	11	18	28
1061	10	17	27
1062	10	17	27
1063	10	17	26
1064	10	17	27
1065	10	17	27
1066	10	17	26
1067	10	17	26
1068	10	16	26
1069	9	16	25
1070	10	17	26
1071	9	16	25
1072	9	16	25
1073	9	16	25
1074	9	16	25
1075	10	16	26
1076	10	16	26
1077	10	16	26
1078	10	17	26
1079	10	17	26
1080	10	17	26
1081	10	17	26
1082	9	16	25
1083	9	16	25
1084	9	16	25
1085	10	17	26
1086	10	17	26
1087	10	16	25
1088	10	17	26
1089	10	16	25
1090	10	16	26
1091	10	16	26
1092	10	17	26
1093	10	17	26
1094	9	16	25
1095	9	15	24
1096	9	15	24
1097	9	16	25
1098	10	16	25
1099	9	16	25
1100	9	16	25
1101	9	15	24
1102	9	15	24
1103	9	15	24
1104	9	15	24
1105	9	16	25
1106	9	15	24
1107	9	15	23
1108	9	15	23
1109	9	15	23
1110	9	15	23
1111	9	15	24
1112	9	15	24
1113	9	15	24
1114	9	15	24
1115	9	15	24
1116	9	15	24
1117	9	15	24
1118	9	15	24
1119	9	15	24
1120	9	15	24
1121	9	15	24
1122	9	15	24
1123	9	15	24
1124	9	15	24
1125	9	15	24
1126	9	15	24
1127	9	15	23
1128	9	15	24
1129	9	15	23
1130	9	15	24
1131	9	15	24
1132	9	15	23
1133	9	15	24
1134	9	15	24
1135	9	15	24
1136	9	15	24
1137	9	16	25
1138	9	16	25
1139	9	16	25
1140	9	16	25
1141	9	16	25
1142	9	15	24
1143	10	16	26
1144	9	16	25
1145	9	16	25
1146	9	16	25
1147	9	16	25
1148	9	16	25
1149	9	16	25
1150	9	16	25
1151	9	16	25
1152	9	16	25
1153	9	16	25
1154	9	15	24
1155	9	16	25
1156	9	16	25
1157	9	16	25
1158	9	16	25
1159	9	16	25
1160	9	16	25
1161	9	16	25
1162	9	15	24
1163	9	16	25
1164	9	16	25
1165	9	16	25
1166	9	16	25
1167	9	16	25
1168	9	15	24
1169	9	16	25
1170	9	16	25
1171	9	15	24
1172	9	16	25
1173	9	16	25
1174	9	16	25
1175	9	16	25
1176	9	16	25
1177	9	16	25
1178	9	16	25
1179	9	16	25
1180	9	16	25
1181	9	16	26
1182	9	16	26
1183	9	16	26
1184	10	17	26
1185	10	17	27
1186	10	17	27
1187	10	17	27
1188	10	17	27
1189	10	17	27
1190	10	17	27
1191	10	17	27
1192	12	19	30
1193	12	19	30
1194	12	20	31
1195	12	20	30
1196	12	20	31
1197	12	20	31
1198	12	20	31
1199	12	20	31
1200	12	20	31
1201	11	19	29
1202	11	19	29
1203	11	19	29
1204	11	19	29
1205	11	19	29
1206	12	19	30
1207	12	19	30
1208	12	19	30
1209	12	19	30
1210	12	19	30
1211	12	20	31
1212	12	20	31
1213	12	20	31
1214	12	20	30
1215	12	19	30
1216	12	20	31
1217	12	20	31
1218	12	20	31
1219	12	20	31
1220	12	20	31
1221	12	20	30
1222	12	19	30
1223	12	20	31
1224	12	20	31
1225	12	20	31
1226	12	20	31
1227	12	20	31
1228	12	20	31
1229	12	20	31
1230	12	20	31
1231	12	20	31
1232	12	20	31
1233	13	21	32
1234	13	21	32
1235	12	20	31
1236	13	21	32
1237	12	20	31
1238	13	21	32
1239	13	21	32
1240	12	20	30
1241	13	21	33
1242	13	22	33
1243	13	21	32
1244	13	21	33
1245	13	21	32
1246	13	22	33
1247	13	21	33
1248	13	21	33
1249	13	21	32
1250	13	21	33
1251	13	21	32
1252	16	25	38
1253	16	26	39
1254	16	26	39
1255	16	25	38
1256	17	27	40
1257	17	27	40
1258	17	27	40
1259	17	27	40
1260	17	26	40
1261	17	27	40
1262	16	25	37
1263	16	25	38
1264	16	25	38
1265	16	25	37
1266	16	25	37
1267	16	25	37
1268	16	25	38
1269	16	25	38
1270	16	25	38
1271	16	25	38
1272	16	25	38
1273	16	25	38
1274	16	25	38
1275	16	25	38
1276	16	25	38
1277	16	25	38
1278	17	26	39
1279	17	26	39
1280	17	27	40
1281	17	26	39
1282	17	27	40
1283	17	27	40
1284	17	27	40
1285	17	27	40
1286	17	26	40
1287	16	26	39
1288	16	26	39
1289	17	26	39
1290	17	27	40
1291	17	26	40
1292	17	27	40
1293	17	26	39
1294	17	26	40
1295	17	27	40
1296	17	26	39
1297	17	27	40
1298	16	26	39
1299	16	26	39
1300	16	26	39
1301	16	26	39
1302	16	26	39
1303	16	26	39
1304	16	26	39
1305	16	26	39
1306	16	26	39
1307	16	26	39
1308	17	27	40
1309	16	26	39
1310	17	26	39
1311	17	27	40
1312	16	26	40
1313	16	26	39
1314	17	27	41
1315	17	27	41
1316	17	27	41
1317	17	27	41
1318	17	27	41
1319	17	27	40
1320	17	27	41
1321	17	27	41
1322	17	28	41
1323	17	27	40
1324	16	26	39
1325	17	27	40
1326	17	27	41
1327	17	28	42
1328	17	28	42
1329	17	27	41
1330	17	28	41
1331	17	27	41
1332	17	28	42
1333	18	29	43
1334	18	29	44
1335	18	28	43
1336	18	28	43
1337	17	28	42
1338	18	28	42
1339	18	29	43
1340	18	29	44
1341	18	29	43
1342	17	28	41
1343	17	27	40
1344	17	27	40
1345	17	27	40
1346	17	27	40
1347	17	27	40
1348	16	26	39
1349	16	25	38
1350	16	26	39
1351	16	26	39
1352	16	26	39
1353	16	26	39
1354	16	26	39
1355	16	26	39
1356	16	26	40
1357	16	26	40
1358	16	26	39
1359	16	26	39
1360	16	26	39
1361	16	26	39
1362	16	26	40
1363	16	26	40
1364	16	26	39
1365	16	26	40
1366	16	26	40
1367	16	26	40
1368	17	26	40
1369	16	26	40
1370	16	26	40
1371	16	26	40
1372	16	26	40
1373	16	26	40
1374	16	26	39
1375	16	26	40
1376	16	26	39
1377	16	26	39
1378	16	26	39
1379	16	26	39
1380	16	26	39
1381	16	26	39
1382	16	26	39
1383	16	26	39
1384	16	26	39
1385	16	26	40
1386	16	26	39
1387	17	27	40
1388	17	27	40
1389	17	27	40
1390	17	27	40
1391	17	26	40
1392	16	26	39
1393	17	26	40
1394	16	26	40
1395	16	26	39
1396	16	26	39
1397	16	26	39
1398	16	26	40
1399	16	27	40
1400	17	27	40
1401	17	27	40
1402	16	26	39
1403	16	26	39
1404	16	26	39
1405	16	26	39
1406	16	25	38
1407	16	25	38
1408	16	26	38
1409	16	26	38
1410	16	26	39
1411	16	26	39
1412	16	26	39
1413	15	25	37
1414	16	25	38
1415	16	25	38
1416	16	25	38
1417	16	25	38
1418	16	25	38
1419	16	25	38
1420	15	25	37
1421	16	25	38
1422	16	25	38
1423	16	25	38
1424	16	25	38
1425	15	25	37
1426	15	25	38
1427	15	25	37
1428	15	25	38
1429	15	25	37
1430	15	24	37
1431	15	24	37
1432	15	24	36
1433	15	25	37
1434	15	24	37
1435	15	25	38
1436	16	25	38
1437	15	24	37
1438	15	25	37
1439	15	24	37
1440	15	25	37
1441	15	24	37
1442	16	25	38
1443	15	25	37
1444	15	24	36
1445	15	24	36
1446	15	24	36
1447	15	25	37
1448	14	23	35
1449	15	24	36
1450	15	24	36
1451	14	23	35
1452	15	24	37
1453	15	24	37
1454	15	25	38
1455	15	25	37
1456	15	24	36
1457	15	24	36
1458	15	24	36
1459	15	24	36
1460	15	24	36
1461	14	23	35
1462	14	23	36
1463	14	23	35
1464	14	23	35
1465	15	23	36
1466	14	23	35
1467	14	23	35
1468	14	23	35
1469	14	23	35
1470	14	23	35
1471	14	23	35
1472	14	23	35
1473	14	22	34
1474	13	22	33
1475	14	22	34
1476	14	22	34
1477	14	22	33
1478	14	22	33
1479	14	22	34
1480	13	22	33
1481	14	22	34
1482	13	21	32
1483	13	21	33
1484	13	21	32
1485	13	20	31
1486	13	20	31
1487	13	20	31
1488	13	21	32
1489	13	21	32
1490	12	20	31
1491	13	20	31
1492	12	20	31
1493	13	20	31
1494	13	20	31
1495	13	21	32
1496	12	20	31
1497	13	21	32
1498	13	21	32
1499	13	21	32
1500	13	21	33
1501	13	21	32
1502	13	21	32
1503	13	22	33
1504	13	21	33
1505	13	21	33
1506	12	20	31
1507	12	20	31
1508	13	21	32
1509	12	20	31
1510	12	20	30
1511	12	20	31
1512	12	19	30
1513	12	19	30
1514	12	19	30
1515	12	19	30
1516	12	19	30
1517	11	19	29
1518	12	19	30
1519	12	19	29
1520	11	19	29
1521	11	19	29
1522	11	19	29
1523	12	19	30
1524	12	19	30
1525	12	19	30
1526	12	19	30
1527	11	19	29
1528	11	19	29
1529	11	19	29
1530	11	18	29
1531	12	19	30
1532	12	19	30
1533	12	19	30
1534	12	19	30
1535	11	19	30
1536	11	19	29
1537	12	19	30
1538	12	20	31
1539	13	22	34
1540	13	21	33
1541	14	23	36
1542	14	23	36
1543	14	23	36
1544	15	25	38
1545	15	25	38
1546	15	25	38
1547	15	25	38
1548	13	21	33
1549	13	22	34
1550	12	20	31
1551	12	20	31
1552	12	20	31
1553	11	19	30
1554	11	19	30
1555	11	19	30
1556	11	19	30
1557	11	19	30
1558	11	19	30
1559	12	19	31
1560	12	19	30
1561	12	19	31
1562	12	19	31
1563	12	19	31
1564	12	20	31
1565	12	20	31
1566	12	20	31
1567	12	20	31
1568	12	20	31
1569	12	20	31
1570	12	20	31
1571	12	20	31
1572	12	20	32
1573	12	20	32
1574	13	21	33
1575	13	21	32
1576	14	22	35
1577	14	22	35
1578	14	22	35
1579	14	22	35
1580	14	22	35
1581	14	22	35
1582	14	22	35
1583	13	22	34
1584	13	22	34
1585	13	21	33
1586	13	21	33
1587	13	21	33
1588	13	21	33
1589	13	21	33
1590	13	21	33
1591	13	21	33
1592	13	21	33
1593	13	21	33
1594	13	21	33
1595	13	21	33
1596	13	21	33
1597	13	21	33
1598	13	22	34
1599	13	22	34
1600	13	22	34
1601	14	23	35
1602	14	22	35
1603	14	22	35
1604	14	23	35
1605	14	23	35
1606	15	24	37
1607	14	23	36
1608	14	23	36
1609	14	23	36
1610	14	23	36
1611	15	24	37
1612	15	24	37
1613	15	23	36
1614	15	23	36
1615	14	23	36
1616	15	24	36
1617	15	24	36
1618	15	24	36
1619	15	24	36
1620	14	22	35
1621	14	22	34
1622	14	22	34
1623	14	23	35
1624	14	23	35
1625	13	22	34
1626	14	22	34
1627	14	22	34
1628	14	22	34
1629	15	24	36
1630	15	24	37
1631	15	24	37
1632	15	24	36
1633	15	24	36
1634	15	24	37
1635	15	25	38
1636	15	25	38
1637	16	25	39
1638	15	24	37
1639	15	24	37
1640	15	24	37
1641	15	24	37
1642	15	24	37
1643	15	24	37
1644	15	24	37
1645	14	24	36
1646	14	23	36
1647	14	23	36
1648	14	23	36
1649	15	24	36
1650	14	24	36
1651	14	24	36
1652	15	24	36
1653	14	23	36
1654	14	24	36
1655	15	24	36
1656	15	24	36
1657	15	24	37
1658	14	24	36
1659	14	24	36
1660	14	23	36
1661	14	23	36
1662	15	24	36
1663	14	24	36
1664	15	24	36
