gene	adj_pval	log_fc	clone	scores
RPL15	0.0	0.759428	G	40.43334
MFGE8	0.0	2.2250445	G	39.88693
PABPC4	0.0	1.2546083	G	39.814476
TXNRD1	0.0	2.1861181	G	39.754402
FOSB	0.0	4.2788496	G	39.640656
RPS3	0.0	0.86260533	G	39.634327
RPL27	0.0	0.82177955	G	38.84563
SDCBP	0.0	1.3503402	G	38.730755
P4HA2	0.0	2.491751	G	38.621655
RPS10	0.0	1.661463	G	37.98689
RPS23	2.3384164220404138e-307	0.75756085	G	37.595585
NORAD	4.2074511101817835e-303	1.5602868	G	37.333744
C6orf62	3.390016050419063e-302	1.5133196	G	37.277782
RPS19	1.208934763431774e-301	0.8755476	G	37.24361
SH3BGR	1.0276162879463055e-299	4.5043707	G	37.12393
BSG	8.065752097904189e-299	0.9946799	G	37.068287
FSTL3	2.51307970365415e-295	2.0420601	G	36.85016
RPS29	3.802562260795272e-291	0.9727612	G	36.587963
GOLGA4	5.5588400594984334e-288	1.306204	G	36.387974
EXOSC6	2.8562366736546392e-285	2.204515	G	36.215885
RPL19	9.025712690204492e-279	0.67074686	G	35.800095
RNF187	9.917257380416153e-268	1.6990707	G	35.08267
RNF145	1.4351803279660303e-262	1.8330951	G	34.742256
SNHG25	2.1535579015941147e-262	1.949043	G	34.730515
IDS	2.145913684885351e-261	2.5686584	G	34.66404
RPS16	6.580525768514776e-260	0.818676	G	34.564827
PDIA3	1.4923524854817476e-259	0.8898907	G	34.541084
MAT2A	2.4171228687590645e-259	1.3567461	G	34.527065
RPL23A	6.816121994267908e-258	0.73210424	G	34.43003
LRRFIP1	9.840892358723432e-257	1.0910428	G	34.352333
NAP1L1	5.0119941828163354e-254	0.74179715	G	34.1703
EIF3H	7.834078084741422e-246	1.1802708	G	33.612858
ARL4C	1.1229724639351952e-244	1.8042998	G	33.53343
JUN	9.153767820346959e-243	1.8197495	G	33.4018
RPL30	2.951810207764491e-242	0.702804	G	33.366695
COMMD6	1.6844937613385784e-240	0.9342148	G	33.24525
BEX2	7.052357833788842e-240	2.9810503	G	33.20213
TRIM56	1.3514246301755178e-237	2.0663328	G	33.04329
PFDN5	4.2083704371641584e-232	0.8057776	G	32.658043
NFKBIZ	5.638255980267001e-228	3.678167	G	32.365593
MAFG	4.55069151717255e-227	1.9552089	G	32.300884
N4BP2L2	1.2924839143342827e-224	1.2785676	G	32.125504
AHNAK2	1.8628600095130863e-221	1.2825851	G	31.897963
CREBRF	2.0021782453810153e-220	3.2065873	G	31.823381
HSPA8	2.837305071615819e-218	0.7846016	G	31.667002
TRAM1	8.832282182712525e-218	1.0174755	G	31.631098
IRX2	7.952381972726349e-217	1.623204	G	31.561493
TPP1	4.462811754640718e-216	2.2020288	G	31.506727
RHOB	3.965089847667373e-214	2.4002903	G	31.363718
SLC39A14	2.4242436086990063e-212	1.347436	G	31.232136
SLC38A1	3.3854160327764926e-211	0.77030015	G	31.147512
NFIC	6.161697720754132e-210	1.4089139	G	31.054256
ASS1	9.526835350604624e-208	2.2350197	G	30.89132
RPL7	9.675688268397505e-208	0.6426292	G	30.890759
UQCRB	9.810755673350538e-206	0.72739613	G	30.740557
TFAP2A	1.9452290322592327e-205	1.4539832	G	30.718132
CRYAB	2.228615378943508e-205	3.6751606	G	30.71365
EIF1	1.989063883428204e-204	0.53469443	G	30.642145
CTSD	1.0407694729921244e-202	0.7829629	G	30.512457
YWHAZ	4.215884015966939e-201	0.72530496	G	30.390638
MXI1	4.230816604648168e-201	2.4599352	G	30.390465
MPHOSPH8	1.1602288388357456e-199	1.4158736	G	30.281088
RPL32	1.686703665317638e-198	0.61696357	G	30.192434
FBXO32	2.2058505293922e-194	4.2960186	G	29.876743
ELL2	9.79298290870842e-192	1.3558501	G	29.671688
EIF3M	9.950263086241412e-192	0.99378717	G	29.671097
SLC7A5	5.049780928160254e-191	0.65487874	G	29.616253
ZRANB2	1.6237321739298007e-188	1.3753103	G	29.420734
CSDE1	3.6324805450941306e-187	0.70648503	G	29.31465
HSPA9	1.1422131526837594e-186	0.8482766	G	29.275478
HSP90AB1	2.1951890972874955e-185	0.50241715	G	29.174236
MAPKAPK2	1.4535372405206536e-182	1.7555455	G	28.950457
CYLD	9.019621685232019e-182	1.8250129	G	28.887247
GRINA	1.395752680725067e-181	1.6322783	G	28.872093
IGF2R	1.9467831167457824e-180	1.2462301	G	28.780514
ST13	4.9674593762566893e-179	0.98360395	G	28.667557
EIF3F	2.9375471410140147e-175	0.7539219	G	28.36277
ABLIM3	4.9738584299131994e-175	1.938874	G	28.344114
ERGIC3	2.601941947386287e-174	1.2750254	G	28.285591
RHOQ	7.7530845271958e-174	1.7006415	G	28.246906
C3	5.791511402592255e-173	4.233372	G	28.175611
ZMYND8	8.793763082065685e-173	1.2596898	G	28.160698
TTC3	2.9675756501611696e-172	1.0164292	G	28.117422
CELF1	7.249975407805509e-169	1.1205671	G	27.838428
CTSB	2.264987985794685e-167	1.160766	G	27.714315
ANKRD12	1.8118994893593277e-166	1.4573307	G	27.639229
LAPTM4A	3.957354013669313e-166	0.7414762	G	27.610884
C6orf48	7.778171361508724e-166	1.6591108	G	27.586275
IRS2	7.889333384094399e-166	1.959656	G	27.58571
OSBPL8	1.036237890528612e-165	1.0803108	G	27.575787
C1S	8.831793708804847e-165	4.410613	G	27.497612
PPP1R15A	9.262343471685924e-165	1.6234789	G	27.495832
OGA	4.596225369410432e-164	1.4357787	G	27.437487
LHFPL2	9.147942936348671e-163	2.123746	G	27.328053
SDC4	1.1008911721986809e-160	1.3521575	G	27.152027
PJA2	3.020309505405668e-159	1.2884294	G	27.029543
FOSL2	5.905238455207554e-159	1.701102	G	27.00471
RPS15A	1.445268889597054e-158	0.59237486	G	26.97149
SARAF	2.0910022260046604e-157	0.86210924	G	26.87208
LARP1	2.1005973741395206e-157	0.8865268	G	26.87186
GFPT1	2.348661005923197e-157	1.6650623	G	26.86766
CCPG1	4.361348735136429e-157	1.4722356	G	26.844498
MT-ATP6	6.783604225138554e-157	0.51943237	G	26.827963
NEXN	1.7369181607235266e-153	1.9297879	G	26.533493
C1R	7.81145919293303e-153	3.160691	G	26.476704
UNC5B	1.9143164403884346e-152	2.7457285	G	26.442778
EEF1D	7.692298041589247e-151	0.5997938	G	26.30259
TIMP2	2.1053271829140996e-150	2.932551	G	26.26424
CD55	8.399141076608743e-150	1.6710652	G	26.211533
SYVN1	1.2711190355271041e-148	1.8831834	G	26.107485
UBE2D3	8.965786729586473e-146	0.74440074	G	25.854692
MKNK2	9.297261334907632e-146	1.3469706	G	25.853243
TRNP1	1.8617228278611574e-145	1.4229853	G	25.826365
LUC7L3	2.3169291866825684e-144	0.9503933	G	25.728508
KIAA0930	2.1127051777362994e-143	1.4162114	G	25.642345
DDX3X	1.61980839123275e-142	0.852764	G	25.562742
NSA2	1.4787396370595625e-141	0.8080366	G	25.475904
C12orf57	3.64781182828e-140	0.85277253	G	25.349678
AP3D1	5.672341691234395e-140	1.1822652	G	25.33219
CLIP1	5.849824614630246e-140	1.3776753	G	25.330927
LPP	6.935437737405968e-140	1.0398148	G	25.324121
NFE2L1	2.4603846973099598e-138	1.0066704	G	25.182598
XPOT	2.7494599072189044e-137	0.9638815	G	25.086533
HSP90B1	5.096210150918012e-137	0.4620053	G	25.061914
ZFAND5	1.20396141319073e-135	1.557647	G	24.935478
TRIR	1.5612330096386162e-135	0.79576355	G	24.925024
KLHL24	1.584472301622448e-135	2.9471939	G	24.924385
ATP2B4	1.283682888758392e-134	2.2372782	G	24.84035
TSC22D3	2.3744168264030164e-133	0.8969388	G	24.72234
OAZ1	2.930928803644948e-131	0.49625948	G	24.526768
NUDT4	7.451668184841113e-131	1.1491407	G	24.488571
LTBR	5.817172586101843e-130	1.311886	G	24.404467
PKN1	3.780054085312503e-129	2.8920486	G	24.327648
PLEKHM2	4.328818162205125e-127	1.6884612	G	24.13177
JUNB	6.4786459844164236e-127	1.2693521	G	24.114944
MYH9	1.096570215879531e-126	0.5315549	G	24.093012
DNAJB9	2.0562099464404276e-125	2.5104146	G	23.970882
PER1	3.483706024095556e-123	1.3479595	G	23.755547
RPL18	8.890815450238592e-122	0.52886266	G	23.618618
NFKBIA	2.0298393204226226e-121	1.8625649	G	23.583567
RPS5	8.501711512805515e-121	0.5205241	G	23.52282
SERINC3	1.5704676148222604e-120	0.94500744	G	23.496674
BRD4	1.870885972760226e-120	1.2757196	G	23.489145
RPL41	2.749205496694988e-120	0.4257039	G	23.472692
SERINC1	4.223014193986757e-118	0.95844537	G	23.257168
SNHG7	5.089492825408151e-118	1.3950626	G	23.249111
LITAF	1.705754465854549e-117	1.0983087	G	23.197084
RPL31	8.93663223021685e-117	0.66676754	G	23.125532
DUSP3	2.856764764021861e-116	2.1354806	G	23.074871
FAM129A	1.3915288668960015e-115	2.7498124	G	23.006193
CXCL2	2.0088251680476032e-115	3.433157	G	22.99017
HSPA5	2.3362456983312617e-115	0.50260085	G	22.98357
GTPBP2	2.8584790242471114e-115	2.5095458	G	22.974718
CTSA	9.823211692106013e-115	1.5064918	G	22.92076
GOLGB1	2.151109749407897e-113	0.87579864	G	22.785654
NR1D2	2.7625022498163143e-112	2.523078	G	22.67334
STX3	2.7526488758713044e-111	2.2798018	G	22.571735
RPL6	8.875127539676112e-111	0.44822818	G	22.519823
RPL36A	2.276825091489368e-110	1.0737785	G	22.4779
SEC61A1	2.2710367220544737e-109	0.5775963	G	22.37519
GRN	1.344909466039834e-108	0.6158556	G	22.295582
PVT1	1.936877769935829e-108	3.2579737	G	22.279161
MCAM	2.7416485706049352e-108	1.0666739	G	22.263546
DLG1	3.6630196680821274e-107	1.1852313	G	22.14673
TAF1D	1.8075548060619803e-106	0.8257818	G	22.074419
RPN1	1.0433645870892806e-105	0.6182129	G	21.994587
ARHGEF2	7.099193669840314e-105	1.5299795	G	21.907064
SLC35F6	1.8105327078828294e-104	1.6864494	G	21.864244
LARP6	2.5647856715012026e-103	1.3887496	G	21.742487
STAT2	1.0506603128348766e-102	1.7486802	G	21.677326
MDM4	1.5515751114002872e-102	1.7280812	G	21.65933
TRIM25	7.803661254192963e-102	1.5494183	G	21.584438
MPST	9.059068650863407e-102	1.0809214	G	21.577456
NFIL3	1.0081334660361197e-101	1.7532241	G	21.572424
MAP4	1.4158996631881078e-101	0.64386404	G	21.55658
LAMP1	2.2104179599099276e-101	0.6747686	G	21.535866
TSHZ2	3.0520408915482315e-101	4.3101163	G	21.520826
BSDC1	4.1611257603775484e-101	1.996513	G	21.506279
EIF2S3	2.8446258548211385e-100	0.9704135	G	21.416653
DDIT3	1.293951960476833e-99	1.5409508	G	21.345577
IFNGR1	1.5516096712369622e-99	1.2175658	G	21.337044
SHISA5	2.7151362706824797e-99	1.1854867	G	21.310736
HM13	1.4522975840671075e-97	0.92225844	G	21.123167
CLIP4	2.335165320825168e-97	1.8152686	G	21.10068
CITED2	6.846834550498932e-97	1.7233241	G	21.049501
IGF2BP2	8.339294046013122e-97	1.0163078	G	21.040068
PNPLA2	1.3511530222116532e-96	1.9552044	G	21.017046
ALDH3A2	1.572140973132583e-96	0.8395043	G	21.009811
SHISA4	2.797604128684036e-95	3.627635	G	20.872105
MORF4L1	3.760557197201241e-95	0.5209866	G	20.857878
SEC31A	3.74979639593746e-94	0.87180656	G	20.747332
SPAG9	4.4962852806265437e-94	0.9190862	G	20.738518
MSI2	1.162341004675858e-93	1.3437243	G	20.69261
OGT	1.4695084183556558e-93	1.3323531	G	20.681135
CREG1	1.81887506529595e-93	1.4642578	G	20.670803
TMCO3	3.5276880808729972e-93	1.2628874	G	20.638641
CHP1	5.860184613217658e-93	0.94147897	G	20.613886
FTX	2.0516515101891837e-92	1.9277216	G	20.552824
ALKBH7	2.4212793934760375e-92	1.0523448	G	20.5447
TBL1XR1	3.293980795540583e-92	0.94640756	G	20.529667
RPSA	6.025203318802928e-92	0.3942736	G	20.500137
MUC20-OT1	7.225829974945913e-92	1.606572	G	20.49117
RPS27A	8.761048398876409e-92	0.4603006	G	20.481749
MTRNR2L12	6.030228441152601e-91	0.70875615	G	20.387205
ERP29	6.621345981479012e-91	0.45318064	G	20.38259
UBXN6	7.910164053648527e-91	1.4766127	G	20.373842
C5orf38	1.288873182755915e-90	1.8265684	G	20.34972
EIF2A	2.309752240442731e-90	1.166829	G	20.32094
CSNK2A1	7.640874764162547e-90	0.91058594	G	20.261843
HYOU1	8.32828529670465e-90	0.7293774	G	20.25756
DVL1	8.534707189306584e-90	1.6026695	G	20.256313
SLAIN2	5.0205795185608844e-89	1.2914374	G	20.16874
LDLRAD3	6.603488126582776e-89	1.8582343	G	20.15514
SEC11A	2.2701018657129493e-88	0.46878314	G	20.093811
PCNP	2.693240944686256e-88	0.89682364	G	20.085163
PABPN1	3.756786067880693e-88	1.1129165	G	20.068506
ZBTB38	7.466433218528588e-88	0.7845421	G	20.034256
GOLGA3	1.6573960155838542e-87	1.03558	G	19.994352
LTBP4	5.361746014544673e-86	1.7261065	G	19.81935
RPL35	1.2204415293238529e-85	0.4191161	G	19.77779
ARHGAP5	2.689429894664032e-85	0.9034179	G	19.737703
USP22	7.037061243923313e-85	0.65818906	G	19.688917
GIT1	2.4361145054165323e-84	1.7570066	G	19.62571
VPS51	3.168291576868174e-84	1.3381023	G	19.612152
FADS3	5.55109613546566e-84	0.8952513	G	19.58357
ATP6V0A1	2.9882664580978855e-83	1.5020932	G	19.497335
VAT1	4.545111487873471e-83	1.6066458	G	19.475754
NSMAF	7.45440721535104e-83	1.8342695	G	19.450203
TPRG1L	7.581414910827e-83	1.5270785	G	19.449297
RTN3	9.940015190215634e-83	0.74709994	G	19.435362
AHNAK	1.7857798294357244e-82	0.4624133	G	19.405195
FNIP1	2.1186315832354813e-82	1.5168614	G	19.396292
NCOR2	4.305752351894826e-82	1.6340213	G	19.359362
PPP1R18	7.567580742157009e-82	1.0871975	G	19.33021
MSC-AS1	9.695501354106384e-82	2.7214773	G	19.317343
SEL1L	1.053075717869134e-81	0.95965874	G	19.312998
TAX1BP1	1.5651520363380795e-81	0.6469363	G	19.292368
CSNK1E	1.8087070175678217e-81	1.1392567	G	19.284851
MAP1LC3B	3.723776793421644e-81	0.768196	G	19.247393
CADM1	8.055237993743751e-81	2.4704523	G	19.207333
RUFY3	1.0011898939261703e-80	1.7485662	G	19.196
FLCN	2.4847862359965477e-80	2.2824557	G	19.148521
TMEM123	6.48025748396254e-80	0.59641117	G	19.098415
BCL9L	1.9029599186698863e-79	1.8958348	G	19.041965
CCNL1	2.5380959995414468e-79	1.078845	G	19.026836
OPTN	3.255249170802726e-79	1.0927769	G	19.01375
PRKCSH	7.424060086664395e-79	0.91046894	G	18.97038
RAB27B	1.1849127186594114e-78	1.2006475	G	18.945711
CCNL2	1.420030108441275e-78	1.292466	G	18.936142
TPRA1	3.791791131010084e-78	1.4682685	G	18.884115
GPX4	1.713261573330226e-77	0.46167377	G	18.803957
SLC25A37	1.042552287723887e-76	0.9044996	G	18.707598
PHLDA3	1.0698951634509476e-76	1.2778608	G	18.706179
EIF4A2	1.2669445990542277e-76	0.5924639	G	18.69705
VAMP2	3.9057269171495826e-76	1.4685651	G	18.636795
GCC2	1.2673235935389707e-75	1.0368713	G	18.573519
DSG2	1.029240301415656e-74	0.6623897	G	18.460308
TTC14	4.497874219902773e-74	1.3609475	G	18.380173
DAZAP2	4.9033841339671514e-74	0.90336525	G	18.37545
SREK1	5.219498440737681e-74	1.0186988	G	18.372023
SESN2	7.403352900597986e-74	1.0406891	G	18.35289
DDB1	7.983727279306406e-74	0.7148748	G	18.348711
PIM3	1.736904937312768e-73	1.8496995	G	18.30631
ETS2	4.529678458370501e-72	1.083064	G	18.127293
SYF2	2.640778859707053e-71	1.0120933	G	18.029724
CD151	3.6923050234041474e-71	0.45865172	G	18.011105
ZNF358	6.2966757193995175e-71	1.7392467	G	17.981382
MCRIP2	6.49821378207343e-71	2.13327	G	17.979597
RPS17	1.2037875349313602e-70	1.1746806	G	17.945227
RPL28	1.2937195490967423e-70	0.39173415	G	17.941185
BCAP31	1.3941508751945056e-70	0.4830504	G	17.936993
GHITM	4.799793716168399e-70	0.567028	G	17.867807
PNISR	7.879750169672539e-70	0.7986819	G	17.839937
DYNC1H1	9.359623857685567e-70	0.49987754	G	17.83028
GBE1	1.9814889232666734e-69	1.4386973	G	17.788183
PTPRF	2.8807490128069273e-69	1.3944279	G	17.767124
SLC3A2	4.5413490909047127e-69	0.27713898	G	17.741453
MAVS	6.140360799838091e-69	1.358556	G	17.72442
TNK2	1.3757463294875817e-68	1.3291681	G	17.678726
RSRP1	3.0176741968409266e-68	1.2598728	G	17.634153
PDP1	3.3429367560252747e-68	1.6257291	G	17.628292
ZBTB16	4.057628248149391e-68	1.7326063	G	17.617256
IRF2BP2	1.9183625844495532e-67	1.1511697	G	17.52884
OSER1	2.3247253876088347e-67	1.6421694	G	17.517872
ATP2A2	1.0351714592656268e-66	0.50343764	G	17.432156
SARS	6.042827221346291e-66	0.59694016	G	17.33042
LONP1	9.130865657045936e-66	0.98318315	G	17.306477
MAFB	1.106745725122933e-65	4.8650007	G	17.295359
SLC6A8	6.552018732642011e-65	1.4347286	G	17.192236
ATXN1	7.161299512977011e-65	2.4749966	G	17.187044
ZBTB20	9.86709178081502e-65	1.5204366	G	17.168299
ARL8A	1.0819251944298074e-64	1.9184505	G	17.162876
SMARCD2	2.7050044999312706e-64	1.2616411	G	17.10932
NFAT5	4.8582288838628914e-64	1.1802356	G	17.075027
NUMA1	6.436844078760696e-64	1.0575036	G	17.058487
CLCN7	1.0228264875860954e-63	1.7049727	G	17.031334
UBXN1	1.1864045204546559e-63	0.75303715	G	17.022577
MARCH6	2.717308033290528e-63	0.9713973	G	16.973843
CBX4	3.1551133248701214e-63	1.5411929	G	16.965033
AHCYL1	5.615815501894827e-62	0.8912384	G	16.794353
GANAB	6.87615144140403e-62	0.67981434	G	16.78226
IFI16	8.992250311650258e-62	0.5832366	G	16.766249
MRPL33	1.2179791235094654e-61	0.5647433	G	16.748095
PDIA4	1.2758758798720746e-61	0.4589022	G	16.745256
NBR1	1.734037267767863e-61	1.0436908	G	16.72688
CLINT1	5.2849737865803254e-61	0.96707994	G	16.660173
BBX	6.590756490149212e-61	0.63739014	G	16.646814
FXR1	1.2840991892576932e-60	0.61733955	G	16.606733
AMFR	1.7267694886581702e-60	1.3828456	G	16.58884
ZFP36	9.73013154881146e-60	1.6538463	G	16.484003
SYT14	1.2009252309525507e-59	1.6030827	G	16.471241
CLPTM1L	1.4153461028584348e-59	0.78211206	G	16.461226
UBL3	2.059840777206309e-59	1.523582	G	16.438387
SLC22A5	2.947311516201372e-59	2.2861068	G	16.41655
TAPBP	5.460708965478831e-59	0.8388159	G	16.37886
SRRM2	1.0213144779304768e-58	0.4634283	G	16.34062
SGCE	1.817889870576678e-58	1.0572236	G	16.305355
MTDH	2.3150184109383613e-58	0.3314654	G	16.290468
F2R	2.8786973169565995e-58	1.0996883	G	16.277025
PTEN	6.131826655587174e-58	0.7403002	G	16.230532
BAZ2A	1.0021028186546703e-57	1.1053016	G	16.200207
TTC17	1.7819290674052954e-57	1.2494496	G	16.164333
MYO1B	5.684127351359079e-57	0.6532262	G	16.092394
NKTR	6.884208392964542e-57	0.8557332	G	16.08046
SMG1	1.7390196133266305e-56	0.85526186	G	16.022696
AHR	1.8581494128856905e-56	0.7270338	G	16.01854
TMEM33	3.5321307966813213e-56	0.8669335	G	15.9784
PRMT8	7.225261976156072e-56	1.4656845	G	15.933503
MME	7.994920766051597e-56	1.1669313	G	15.927101
PDCD6IP	2.1171833123003238e-55	0.7299732	G	15.865751
HLA-E	2.2494871748211448e-55	0.8318513	G	15.861909
ADIPOR1	3.1318676418894664e-55	1.1916901	G	15.840898
KANSL1	3.284895415936369e-55	1.2975228	G	15.837861
HDLBP	3.694791840534783e-55	0.38412544	G	15.830428
CAMLG	1.8186063826149092e-54	0.8017329	G	15.72929
SLC38A2	2.2968175731043474e-54	0.34760368	G	15.714392
RSL1D1	3.006616571141529e-54	0.6169019	G	15.6972065
LENG8	3.2501589283987763e-54	1.9310583	G	15.692192
ZNF783	3.9662008084613246e-54	2.4532475	G	15.679514
SPG21	6.082050418909549e-54	1.1317862	G	15.652189
ZBTB7A	8.489478828561891e-54	1.2184736	G	15.630811
UBE2Z	8.54766195520652e-54	0.8138521	G	15.63034
AKAP13	9.299439561758635e-54	0.8551208	G	15.624896
SLFN5	1.381023572556803e-53	0.78775865	G	15.599597
DDR1	1.361752523070441e-52	1.2233856	G	15.452189
TMEM50B	1.5458145116573594e-52	1.0313394	G	15.443945
KCNB1	2.7074314399324276e-52	3.4298975	G	15.407549
DLGAP4	4.4904075237456955e-52	1.294135	G	15.37467
MGAT4B	5.2224692655410945e-52	0.673336	G	15.364813
EPB41	5.3887788077011145e-52	2.3311234	G	15.362745
ZBTB44	2.402602828850974e-51	1.3304543	G	15.265151
GNB1	3.0318342384743225e-51	0.41064787	G	15.249934
UBN2	3.962627596861903e-51	1.675421	G	15.232299
FOXO3	3.9734838042615323e-51	0.69520545	G	15.232084
TRIM44	6.737317860317314e-51	0.7094743	G	15.19742
XIAP	1.135234809369023e-50	1.0870672	G	15.162982
INPPL1	1.5853702343756417e-50	1.5006132	G	15.140892
CSF1	3.2933337909011217e-50	2.8542922	G	15.092524
CIRBP	3.324360490579745e-50	0.45616606	G	15.091869
AES	4.435320255086057e-50	0.5058702	G	15.072621
PDLIM4	5.158693268133154e-50	1.0074425	G	15.062603
ZMYM2	6.872686628500675e-50	1.1952332	G	15.043486
SETX	6.959768471163286e-50	0.9176445	G	15.042617
TMED2	7.556799873359008e-50	0.45493457	G	15.037026
MTA1	7.993816401655808e-50	1.1490167	G	15.033268
SEC11C	1.023972900273757e-49	0.67018247	G	15.016789
SLC33A1	1.4477362740322391e-49	1.1077403	G	14.993705
GDF15	1.8434550996996744e-49	1.2313324	G	14.977509
HSPH1	2.1248343910753568e-49	0.71167725	G	14.967992
JAK1	2.196102157130721e-49	0.8028753	G	14.965762
RPS4X	5.024274560018206e-49	0.31772083	G	14.910463
CCNDBP1	5.546333992503824e-49	1.396279	G	14.903826
VEZF1	1.3585433592950731e-48	1.0080216	G	14.843544
YWHAG	2.1982484883052905e-48	0.6776025	G	14.810985
EID3	2.9297754670952707e-48	3.2774575	G	14.791522
NAMPT	3.48408441705363e-48	0.63889104	G	14.77975
CEBPB	8.83554947214706e-48	0.42099476	G	14.716762
PURB	1.872565507972437e-47	0.80698293	G	14.665514
KDM5C	2.5503066100307025e-47	1.3276703	G	14.644356
TNRC6B	2.7491912751042154e-47	0.70942277	G	14.639215
CBX6	3.3953052005128736e-47	1.2798802	G	14.624821
ATP6AP1	5.338673337811139e-47	0.8082369	G	14.593879
ULK1	1.004765544069807e-46	2.1074867	G	14.550332
HEBP2	1.2891697887557197e-46	0.58529025	G	14.533131
POLR2J3_ENSG00000285437	1.5307682880496922e-46	1.1799828	G	14.521327
PLSCR1	1.672675811800546e-46	1.1377594	G	14.515108
