gene	adj_pval	log_fc	clone	scores
VEGFA	3.872815115840872e-15	0.49131522	G	8.410684
CTSL	6.210191740742381e-15	0.6818654	G	8.353462
SLFN5	8.40141740126959e-15	0.5297516	G	8.317047
GBE1	1.0501659950715832e-14	0.69471395	G	8.29022
CDV3	1.0904146749252639e-14	0.4688743	G	8.285089
ZC3H15	2.648076922088259e-14	0.53245103	G	8.176853
CCT4	3.782884256313495e-14	0.5178494	G	8.132119
CFL1	5.505151089772998e-14	0.27315617	G	8.0858755
CLTA	6.748563642062423e-14	0.37475044	G	8.060698
PCBP1	7.025613623177483e-14	0.36847788	G	8.055454
CCT7	9.146711085917829e-14	0.56055653	G	8.021188
EIF3K	1.5201890669869928e-13	0.3918894	G	7.957594
HNRNPAB	1.5475665741119417e-13	0.59746647	G	7.9550653
AK2	1.883263625997241e-13	0.5861222	G	7.929766
RPS7	2.67921647035104e-13	0.29296556	G	7.8839674
SNRPG	2.893949486147891e-13	0.5375479	G	7.874018
ANXA5	3.71780821880298e-13	0.21711509	G	7.8420033
ADAMTS1	4.3645700819677273e-13	1.7819315	G	7.821216
S100A16	4.49369690884565e-13	0.33611965	G	7.8172326
ABRACL	6.466167402305213e-13	0.6846837	G	7.769405
LIPG	7.178298010194722e-13	0.9054947	G	7.755389
PLOD2	9.331408327855254e-13	0.5276128	G	7.720336
PTGES3	1.0175275284046053e-12	0.3353413	G	7.708988
SLC38A1	1.1176652029905147e-12	0.25312504	G	7.696084
SLC7A1	1.15274055674343e-12	0.5367486	G	7.6915264
TMEM147	2.0281034362198792e-12	0.5582287	G	7.6168065
CD55	2.229358577416407e-12	0.509316	G	7.60368
TPM3	2.7289504190484398e-12	0.42067134	G	7.575991
HDAC2	2.927369899973675e-12	0.5962228	G	7.566283
DAZAP1	3.1543276888386903e-12	0.51000184	G	7.555982
PAK2	3.888657044379239e-12	0.4545266	G	7.528108
PPM1G	4.863467162657883e-12	0.53001595	G	7.4979553
ZBTB38	4.872192393880828e-12	0.36970538	G	7.497427
CCNI	5.0997637405799894e-12	0.26902497	G	7.4911466
OCIAD2	5.74115826318095e-12	0.56947935	G	7.475
NCKAP1	7.10750413011697e-12	0.42096052	G	7.4457088
ZNF598	7.138851989882782e-12	0.5783701	G	7.444838
SF3B5	7.212748406254676e-12	0.41006932	G	7.443189
RPS12	7.662036249869739e-12	0.25827557	G	7.4349165
ASNS	9.95299779194047e-12	0.65489095	G	7.3988166
MTDH	1.0616694600372783e-11	0.26470882	G	7.389951
RHOC	1.3563948213391273e-11	0.40550756	G	7.3567324
MIA2	1.4459446833811728e-11	0.70068043	G	7.3478117
MBD2	1.551366881751388e-11	0.5839577	G	7.3376307
ASB1	1.7284336754582534e-11	0.8088073	G	7.3225775
H3F3A	1.9400855203899292e-11	0.28848937	G	7.305931
SH3BGRL3	2.431456023491634e-11	0.29701117	G	7.274389
YWHAB	3.11065589217637e-11	0.26487276	G	7.2393723
DLGAP4	3.43716016271032e-11	0.6223555	G	7.225264
LMNA	3.865815957676801e-11	0.22772379	G	7.2089972
AUP1	4.229535098638117e-11	0.49160948	G	7.1958246
MGLL	4.229535098638117e-11	1.5750662	G	7.19563
TLN2	4.2549253950554504e-11	1.2021935	G	7.1945367
LURAP1L	4.261346105412197e-11	0.9279456	G	7.194055
PRELID3B	4.682080491347492e-11	0.6040655	G	7.180919
CREB5	4.880119879818915e-11	1.2560571	G	7.1747036
DPP7	5.215534517086724e-11	1.1030562	G	7.165329
SLAIN2	5.28060881744549e-11	0.51085377	G	7.163356
RPL7A	5.351919007922109e-11	0.2834545	G	7.1612434
SFPQ	5.437599827053041e-11	0.36842176	G	7.15852
TTL	6.156302052230791e-11	0.85657245	G	7.1412063
KRT18	6.372215083150666e-11	0.58164924	G	7.1361947
CCDC85B	6.586690313867418e-11	0.3366869	G	7.1313686
RPS29	9.318982400130664e-11	0.2676825	G	7.081827
MRPL52	1.350859491556276e-10	0.5405914	G	7.029664
TPM2	1.4818596499871216e-10	0.5062276	G	7.016195
GUK1	1.5935701822392612e-10	0.32101697	G	7.005486
FAM210A	1.8985977473679982e-10	0.8589658	G	6.979576
MAP2	1.9058750415916603e-10	1.3696711	G	6.9787703
HIPK2	1.9548796784682942e-10	0.3138125	G	6.9746666
RPS6	1.9889350346136894e-10	0.26424214	G	6.9719706
SSR3	2.2982690784473395e-10	0.26558045	G	6.950544
FSTL3	2.5250449036103983e-10	0.35643092	G	6.9369917
SLC25A6	3.5188101509397723e-10	0.24039443	G	6.889136
PPIF	4.297698361831921e-10	0.7190386	G	6.8595667
PDCD5	4.4844832415625543e-10	0.38956758	G	6.8532214
DUSP3	4.6538437443680426e-10	0.572725	G	6.847654
SNRPB	5.041645899197743e-10	0.532006	G	6.835926
COPS9	5.521793729008415e-10	0.36244664	G	6.8223457
DOCK9	5.757573807190367e-10	0.77264625	G	6.8160744
TRIM25	6.26693989919624e-10	0.5116209	G	6.803615
GLS	6.647763885063059e-10	0.48543262	G	6.794852
PSMD8	9.076782915320045e-10	0.507551	G	6.7484875
PDCD2	9.096699425024234e-10	0.59571105	G	6.7477374
MARS	9.306737191443325e-10	0.5905087	G	6.7440686
LRRC59	9.86848877053732e-10	0.50833666	G	6.734509
GABPB1-AS1	1.1620535236648662e-09	0.39900595	G	6.709664
TUBB6	1.1749615671652618e-09	0.52123636	G	6.7077928
CDC42EP2	1.4931412263168466e-09	0.7138086	G	6.6709146
ACTR3	1.5568900660556038e-09	0.39825588	G	6.6642632
KIF5B	1.6355692621289007e-09	0.2934786	G	6.6562505
LDLR	1.705559504576983e-09	0.7235906	G	6.649321
TPM1	1.7854546035090702e-09	0.67181945	G	6.6418176
CALM1	1.9476765550109127e-09	0.4016878	G	6.6287374
HDGF	1.959773005114807e-09	0.37429607	G	6.6275706
EIF3B	1.9619537449183224e-09	0.35657108	G	6.6271534
EIF6	2.1212301630037894e-09	0.45023516	G	6.614861
EID3	2.184113751656411e-09	1.091629	G	6.6097846
LARP1	2.4603776510076365e-09	0.291833	G	6.5913777
REXO2	2.9027478674505218e-09	0.46786875	G	6.5655417
CRYAB	3.0753325791878045e-09	0.7047909	G	6.5561852
DLG1	3.1120645221265544e-09	0.40671134	G	6.554166
FAM49B	3.4218080665189097e-09	0.6785353	G	6.5390015
HNRNPH3	3.6012638632008195e-09	0.3357686	G	6.530859
HMGA1	3.767170935465089e-09	0.53437424	G	6.523374
TSC22D1	3.8823491678711206e-09	0.3412733	G	6.5186124
WDR1	4.2467693735474465e-09	0.41866568	G	6.5041614
TARS	4.414571208328139e-09	0.3743683	G	6.497603
CHCHD2	4.5409844095869306e-09	0.21730414	G	6.49311
POMP	4.592904570170741e-09	0.36746088	G	6.491155
CEBPG	5.692153745298092e-09	0.50630337	G	6.4582696
SSBP1	6.162133229908431e-09	0.388985	G	6.4455233
YARS	6.421741603345016e-09	0.46006474	G	6.43902
CLIP1	7.1941992906998095e-09	0.37881896	G	6.42103
DDX18	7.242510505799573e-09	0.45130375	G	6.4197702
FOSL1	7.665775499676776e-09	1.7245375	G	6.4106364
BAG1	9.284250711147641e-09	0.45775557	G	6.380169
MPC2	1.0934341372350024e-08	0.4864338	G	6.3541102
HSBP1	1.0955581606716658e-08	0.3297648	G	6.3535733
MYO1B	1.17541675544256e-08	0.35376018	G	6.3420305
CCPG1	1.1772081682403854e-08	0.38219583	G	6.3415585
PHB	1.1926950283805462e-08	0.42685488	G	6.3393073
MAP4	1.2380291755917094e-08	0.26404923	G	6.333082
ATP2B1	1.2917403691183526e-08	0.25492567	G	6.326292
COX17	1.3299858508070726e-08	0.4787548	G	6.321549
HNRNPA2B1	1.3534286762229124e-08	0.22164366	G	6.3186126
RPS6KA2	1.4530876109799876e-08	0.4983051	G	6.307385
CDH4	1.530449065206292e-08	1.416551	G	6.299113
ARPC5	1.581421950830664e-08	0.32701766	G	6.2937956
RPS5	1.7638126370765604e-08	0.19964196	G	6.2766023
TACC1	1.8377615945827403e-08	0.5846889	G	6.2697377
RPS19	1.8999391660838945e-08	0.24808882	G	6.264319
SACS	1.9550898456248773e-08	0.65003884	G	6.259622
MAPRE1	2.0858231596191927e-08	0.5607026	G	6.2492843
VARS	2.380901557090019e-08	0.63482547	G	6.227876
MAFG	2.6158005137531492e-08	0.3693266	G	6.212878
CSNK2A1	2.980855949870159e-08	0.35269427	G	6.1916184
HNRNPK	3.1437292252629594e-08	0.26416117	G	6.182994
SPATS2L	3.1668118194328814e-08	0.46333194	G	6.1816044
DHCR7	3.378093775034602e-08	0.7207791	G	6.171146
SLIRP	3.459941488368401e-08	0.4829557	G	6.1669126
GLRX3	4.4661422540194806e-08	0.4608586	G	6.1249948
TUBA4A	4.5241312284908354e-08	0.6521328	G	6.122707
GTF3A	5.118649112290234e-08	0.44533607	G	6.102077
NSMF	5.607252096830143e-08	0.7163805	G	6.086329
RBCK1	5.80647254978886e-08	0.38333032	G	6.080502
FYN	6.113003445940613e-08	0.74737513	G	6.0720167
SNRPD1	6.470227242863284e-08	0.448149	G	6.0626607
ODC1	6.535411316525085e-08	0.30884925	G	6.0608172
HNRNPU	6.624470760694755e-08	0.22121917	G	6.0584087
PFKP	7.525299157117805e-08	0.4615908	G	6.0376306
RPS27A	8.449266482225093e-08	0.23756401	G	6.0184455
NOP58	8.54063352679464e-08	0.5462707	G	6.0164723
PSAT1	8.900535469846941e-08	0.3912354	G	6.0095525
NPC1	9.555627191159049e-08	0.5566223	G	5.997334
LAPTM4B	9.569317917320755e-08	0.6384141	G	5.996871
C19orf48	9.885014030339434e-08	0.70460415	G	5.9909053
PSMD7	1.0056772234705852e-07	0.39894903	G	5.987644
RCN1	1.0673532199100439e-07	0.4280568	G	5.9770374
TMEM255B	1.0958290669590767e-07	0.7855753	G	5.972517
MSANTD3	1.1743300678582208e-07	0.82239693	G	5.9605393
KTN1	1.2447020240728634e-07	0.24319592	G	5.95034
DTD1	1.3117418383905502e-07	0.48062977	G	5.941521
RUNX1	1.3630785940113172e-07	0.6012529	G	5.9345455
USP53	1.3869496183336046e-07	0.5871166	G	5.93147
PUM3	1.5334289312761865e-07	0.5880241	G	5.91474
CACYBP	1.5679023409917881e-07	0.5570021	G	5.9106274
CALM2	1.5717538101584842e-07	0.26638314	G	5.909997
PSMC1	1.6884975515152114e-07	0.45313016	G	5.8977323
KLF6	1.6896043227131453e-07	0.16248459	G	5.897399
TMEM33	2.0019027508524843e-07	0.3872886	G	5.8686633
RB1CC1	2.18659958735749e-07	0.2789001	G	5.853786
XPO5	2.414336381954715e-07	0.7349451	G	5.8369265
PMEPA1	2.414336381954715e-07	0.7093762	G	5.836843
OAF	2.524542178629203e-07	0.6629937	G	5.8291726
NARS	2.7078378124170286e-07	0.396739	G	5.8167872
UBE2M	2.7437232227788694e-07	0.4785514	G	5.81436
DDIT3	3.070130014598028e-07	0.42723203	G	5.7948513
NUDC	3.1997694717023263e-07	0.3661265	G	5.787681
SURF4	3.3387642663258324e-07	0.29935446	G	5.7803073
TOMM40	3.632176144077415e-07	0.6284948	G	5.7656713
DVL1	3.9911005433492325e-07	0.440506	G	5.749534
IPO7	4.1456251810811153e-07	0.29062307	G	5.7428827
CDYL	4.570662755900649e-07	0.66834986	G	5.7254395
MICALL1	5.056532515603109e-07	0.7805176	G	5.7069216
RHEB	5.671636023294824e-07	0.3613145	G	5.686449
MGAT4B	5.7468236448098e-07	0.3379307	G	5.6837535
SERBP1	5.999717899833551e-07	0.26205453	G	5.6755
GFPT1	6.417699039783509e-07	0.37129298	G	5.662855
DDX5	6.966501576901925e-07	0.19662602	G	5.648543
NAA10	7.066343140097673e-07	0.43406534	G	5.645875
STOML2	7.640448458922338e-07	0.38186297	G	5.6322017
SNRNP200	7.955004781852576e-07	0.4241617	G	5.6248
RDH11	8.046628229955438e-07	0.5425446	G	5.6223826
AAK1	8.599589291145957e-07	0.48377916	G	5.6106734
WDR43	8.676455087186427e-07	0.5218969	G	5.6089134
KLF13	9.438723394340034e-07	0.42432845	G	5.5932207
SSB	1.1079136116261424e-06	0.36776116	G	5.564467
EIF5A	1.2102422760966322e-06	0.50806093	G	5.5488205
DPYSL2	1.2288005178772357e-06	0.17107539	G	5.5459394
MAFF	1.32031216481604e-06	0.6497559	G	5.532702
ETF1	1.34838581388428e-06	0.34462568	G	5.528793
SNF8	1.4426918075192428e-06	0.42014587	G	5.5164814
MIR4435-2HG	1.5330126268245502e-06	0.97309965	G	5.5049205
SRSF3	1.6093536878212927e-06	0.29823074	G	5.4959164
ATP5MD	1.6516674257936253e-06	0.25120655	G	5.4906826
CLIC1	1.655445702348474e-06	0.22401096	G	5.4900618
TJP1	1.7886167474914123e-06	0.44836238	G	5.475296
PRDX6	1.80824565125106e-06	0.29202703	G	5.473147
SEC61B	1.8615807005806533e-06	0.29021406	G	5.4673476
ATP5MPL	1.8620432734413523e-06	0.2862242	G	5.467088
FGFR1	1.8958752862102368e-06	1.1272395	G	5.4636793
KPNA2	2.174930935368872e-06	0.85457444	G	5.437973
SLC25A5	2.1754806806822422e-06	0.3555363	G	5.4377136
AURKAIP1	2.3085893873842963e-06	0.28843832	G	5.426477
XDH	2.396870107974996e-06	1.6298629	G	5.419344
PLEKHM2	2.4799332346127545e-06	0.37509292	G	5.4128222
H2AFZ	2.49034754200014e-06	0.31799918	G	5.411859
RPS16	2.4996427159063467e-06	0.20137116	G	5.410979
NDUFAF3	2.640020448355787e-06	0.5827322	G	5.400761
ACP1	2.646305115774737e-06	0.5071168	G	5.400122
ILF2	2.778851533327345e-06	0.4269478	G	5.3907104
EIF4G1	2.943180730943967e-06	0.22835077	G	5.3795757
PTPDC1	2.943180730943967e-06	1.0449263	G	5.3795295
SYNCRIP	3.081672757598906e-06	0.29037336	G	5.3708215
HSP90AB1	3.910958530948572e-06	0.113049045	G	5.326838
ZNF706	4.077873459514944e-06	0.35734823	G	5.318603
PDCD11	4.233740961404013e-06	0.5446136	G	5.3113494
LETM1	4.623496894698659e-06	0.6133758	G	5.294434
SLC6A15	4.892122214123966e-06	0.40205204	G	5.283892
PRRC2C	5.07227053515089e-06	0.2962058	G	5.2770557
NIFK	5.0741197351878325e-06	0.48982182	G	5.2767777
MSC	5.169123014895414e-06	0.9566839	G	5.273165
EIF1	5.267439990203987e-06	0.1194469	G	5.269497
CHORDC1	5.308598248825998e-06	0.5482249	G	5.267857
XPOT	5.459415460957996e-06	0.27788994	G	5.262299
GLRX5	5.563998456690229e-06	0.49810117	G	5.2583804
AMD1	5.78503903326179e-06	0.48536062	G	5.250581
SCARB1	6.2611833306898895e-06	0.52101445	G	5.235574
UBQLN1	6.367495182401549e-06	0.4921205	G	5.232044
TXNL4A	6.8563913325958695e-06	0.3891421	G	5.217102
NRBP1	7.27205378717901e-06	0.44188178	G	5.2059765
UBE2E1	8.260046402147894e-06	0.45806804	G	5.1810207
NAA50	8.509582250133237e-06	0.35066813	G	5.1752586
RAP1B	9.648748882508972e-06	0.34617215	G	5.1509604
CHCHD3	9.648748882508972e-06	0.54015684	G	5.1509047
GOT1	9.791581772373213e-06	0.6195788	G	5.147746
GTPBP4	1.0007796720909203e-05	0.4444964	G	5.1434383
STX3	1.0540165416823311e-05	0.4317179	G	5.133489
MRPL24	1.0543057974728858e-05	0.51640904	G	5.1332297
CRYBG2	1.0631776168982346e-05	2.0706537	G	5.1312385
PVR	1.0702457898563139e-05	0.9120197	G	5.129784
JTB	1.0856056761623294e-05	0.31747776	G	5.1268935
PSMB7	1.127891193376183e-05	0.4001321	G	5.1186585
AIMP2	1.1771150661307206e-05	0.61420316	G	5.1101823
CTH	1.188699702400861e-05	1.0609946	G	5.1081257
EBNA1BP2	1.1954641924605395e-05	0.4083655	G	5.1068473
DCAF10	1.2980046583493742e-05	0.4699424	G	5.091062
AREG	1.3176656461589771e-05	0.20772842	G	5.088005
ATP6V1G1	1.3527110674811703e-05	0.2695529	G	5.0828176
AL590004.4	1.3602267006074983e-05	1.9000466	G	5.081428
TMEM40	1.4009966505539153e-05	0.54857975	G	5.0755367
ZYX	1.4274215507838852e-05	0.4145968	G	5.071572
PA2G4	1.4288715452418082e-05	0.27074194	G	5.071173
GSPT1	1.4305333526082313e-05	0.32895178	G	5.0707474
BCL2L1	1.4588414212523557e-05	0.46941778	G	5.066199
RPL12	1.5555266571531348e-05	0.24409035	G	5.0531464
SF3B6	1.6657750420394742e-05	0.33838493	G	5.039446
PDIA6	1.6811632412997935e-05	0.20748925	G	5.037482
DNAJB12	1.7652868933100965e-05	0.4301986	G	5.0275145
DPH3	1.8477511598269715e-05	0.6179828	G	5.0181394
HM13	1.9080110376778284e-05	0.28790042	G	5.0117664
PIEZO1	1.9198148713376616e-05	0.44088882	G	5.010377
KPNA4	1.960823768809825e-05	0.40364963	G	5.0059023
YKT6	2.2786236276404686e-05	0.50854766	G	4.975879
MRPL41	2.308689293084122e-05	0.3218572	G	4.9731374
FHL2	2.330880715949617e-05	0.50216293	G	4.971081
ME2	2.3455343158397377e-05	0.6259306	G	4.9696636
CFL2	2.382131647139795e-05	0.58016294	G	4.9664583
FDFT1	2.5550608304276604e-05	0.3898916	G	4.952035
RAC1	2.6977482371352185e-05	0.16048399	G	4.941048
MFSD10	2.855115016051043e-05	0.33744532	G	4.92958
YWHAZ	2.8702422209596058e-05	0.14059527	G	4.928144
ALG3	3.163742305603825e-05	0.46122265	G	4.908478
COX5B	3.32751219325893e-05	0.2873537	G	4.8979635
NUP58	3.376082309357742e-05	0.42042193	G	4.894712
NOP10	3.4489103721491514e-05	0.27812362	G	4.8903117
PXDC1	3.5450153206349945e-05	0.48881865	G	4.884698
WDR45	3.832815531119723e-05	0.5045134	G	4.8680887
DHRS7	3.908125190433863e-05	0.36407727	G	4.8640404
CUX1	4.2063935910958644e-05	0.47530267	G	4.8484683
RPL35	4.270969194523618e-05	0.17640343	G	4.845245
MAT2A	4.306849877940212e-05	0.232869	G	4.842984
SIGMAR1	4.3357632773593884e-05	0.5771601	G	4.841456
IRF2BP2	4.482641181004157e-05	0.35365888	G	4.834434
ASAP2	4.564338047709631e-05	0.46720928	G	4.8304415
DMAC1	4.845465460532434e-05	0.439738	G	4.817732
EMP3	5.026893840415305e-05	0.28070426	G	4.8101916
STRAP	5.189793249221912e-05	0.2927872	G	4.803614
GLIPR1	5.313839463362371e-05	0.50960124	G	4.798686
PINK1	6.037408263979699e-05	0.4823115	G	4.7720532
HSPA13	6.219859762079796e-05	0.36212224	G	4.7658563
MTHFD1L	6.325468506260941e-05	1.0504987	G	4.762262
SRSF7	6.347449210427589e-05	0.40093762	G	4.761363
DSG2	6.756256527877683e-05	0.25921944	G	4.7479587
SLC20A1	6.926087368524778e-05	0.36673886	G	4.7421412
ZBTB21	7.38323938734714e-05	0.5665374	G	4.728783
EIF5	7.384803929881384e-05	0.32454196	G	4.7285423
CLIP4	7.510913755974265e-05	0.3638531	G	4.724707
STIP1	7.655119418150377e-05	0.4198505	G	4.720446
RUVBL1	7.663740104222186e-05	0.419002	G	4.72002
TAF1D	7.8948233964287e-05	0.23209938	G	4.7137766
PPP1R14B	7.899753973714237e-05	0.17028934	G	4.7134523
LSM4	8.042443150050201e-05	0.32189345	G	4.7096076
TSEN15	8.350991990972911e-05	0.7091354	G	4.701141
ELOC	8.63851030977919e-05	0.35364845	G	4.693832
PPP2R1A	9.072326220494273e-05	0.29636127	G	4.6834106
SERINC2	9.121183126061464e-05	0.21224609	G	4.6821136
NUS1	9.142571357868589e-05	0.36928126	G	4.6814375
KRT75	9.235446033698998e-05	2.421439	G	4.678973
NR1D2	9.274685976452258e-05	0.4215974	G	4.677908
SBF1	9.46455068991422e-05	0.6342437	G	4.673554
KRT81	9.678529598973823e-05	0.5411066	G	4.6683755
FDPS	9.742834485695571e-05	0.4310429	G	4.6668196
COA4	9.916827164657666e-05	0.32906738	G	4.6629844
ARPC5L	9.996143228588282e-05	0.5360638	G	4.66115
HMGA2	0.00010551631072985803	0.36940792	G	4.648839
COLGALT1	0.0001122228647629427	0.3371845	G	4.6353326
